Filter,Geohash,Count,"Geo Centroid"
,w5,21,"{
  ""lat"": 21.999999987892807,
  ""lon"": 97.999999942258
}"
,s8,21,"{
  ""lat"": 0,
  ""lon"": 24.99999993480742
}"
,9u,18,"{
  ""lat"": 26.24034442473203,
  ""lon"": -99.26865559071302
}"
,gb,14,"{
  ""lat"": 48.66548568742083,
  ""lon"": -4.085771465407951
}"
,ec,14,"{
  ""lat"": 7.945885698843215,
  ""lon"": -9.37277148344687
}"
,6m,14,"{
  ""lat"": -12.04374288674444,
  ""lon"": -77.03037143951016
}"
,tx,13,"{
  ""lat"": 43.089661524416165,
  ""lon"": 76.78089223587169
}"
,qd,12,"{
  ""lat"": -31.91556670004502,
  ""lon"": 115.83086661994457
}"
,9r,12,"{
  ""lat"": 40.441816637758166,
  ""lon"": -120.29453335795552
}"
,v9,11,"{
  ""lat"": 52.32272724620998,
  ""lon"": 75.66611811518669
}"
,ev,11,"{
  ""lat"": 32.59978179692883,
  ""lon"": -5.911418226632205
}"
,tz,10,"{
  ""lat"": 43.802259975112975,
  ""lon"": 87.60649992339313
}"
,tu,10,"{
  ""lat"": 24.737559981644154,
  ""lon"": 86.61779996193945
}"
,gf,10,"{
  ""lat"": 57.49429997988045,
  ""lon"": -3.898600023239851
}"
,62,10,"{
  ""lat"": -40.352720028720796,
  ""lon"": -73.18830004893243
}"
,wd,9,"{
  ""lat"": 14.241999979130924,
  ""lon"": 121.05557771399617
}"
,w0,8,"{
  ""lat"": 4.1112499858718365,
  ""lon"": 100.56957493303344
}"
,v8,8,"{
  ""lat"": 47.99999998882413,
  ""lon"": 67.99999997019768
}"
,u7,8,"{
  ""lat"": 62.76727496646345,
  ""lon"": 18.055299958214164
}"
,tk,8,"{
  ""lat"": 24.595799973467365,
  ""lon"": 64.85854995902628
}"
,t9,8,"{
  ""lat"": 10.174999973969534,
  ""lon"": 76.53508745133877
}"
,vd,6,"{
  ""lat"": 61.13949998281896,
  ""lon"": 74.4647666439414
}"
,sb,6,"{
  ""lat"": 0.9999999823048711,
  ""lon"": 37.999999998137355
}"
,r6,6,"{
  ""lat"": -33.17396669648588,
  ""lon"": 151.47179994732141
}"
,de,6,"{
  ""lat"": 18.13999998383224,
  ""lon"": -64.37453337013721
}"
